Surface Interval Credit Table,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,A,0:00-3:00
,,,,,,,,,,,,,,,,,,,,,,,,B,0:00-0:47,0:48-3:48
,,,,,,,,,,,,,,,,,,,,,,,C,0:00-0:21,0:22-1:09,1:10-4:10
,,,,,,,,,,,,,,,,,,,,,,D,0:00-0:08,0:09-0:30,0:31-1:18,1:19-4:19
,,,,,,,,,,,,,,,,,,,,,E,0:00-0:07,0:08-0:16,0:17-0:38,0:39-1:27,1:28-4:28
,,,,,,,,,,,,,,,,,,,,F,0:00-0:07,0:08-0:15,0:16-0:24,0:25-0:46,0:47-1:34,1:35-4:35
,,,,,,,,,,,,,,,,,,,G,0:00-0:06,0:07-0:13,0:14-0:22,0:23-0:31,0:32-0:53,0:54-1:41,1:42-4:42
,,,,,,,,,,,,,,,,,,H,0:00-0:05,0:06-0:12,0:13-0:20,0:21-0:28,0:29-0:37,0:38-0:59-,1:00-1:47,1:48-4:48
,,,,,,,,,,,,,,,,,I,0:00-0:05,0:06-0:11,0:12-0:18,0:19-0:26,0:27-0:34,0:35-0:43,0:44-1:05,1:06-1:53,1:54-4:54
,,,,,,,,,,,,,,,,J,0:00-0:05,0:06-0:11,0:12-0:17,0:18-0:24,0:25-0:31,0:32-0:40,0:41-0:49,0:50-1:11,1:12-1:59,2:00-5:00
,,,,,,,,,,,,,,,K,0:00-0:04,0:05-0:10,0:11-0:16,0:17-0:22,0:23-0:29,0:30-0:37,0:38-0:50,0:46-0:54,0:55-1:16,1:17-2:04,2:05-5:05
,,,,,,,,,,,,,,L,0:00-0:04,0:05-0:09,0:10-0:15,0:16-0:21,0:22-0:27,0:28-0:34,0:35-0:42,0:47-0:55,0:51-0:59,1:00-1:21,1:22-2:09,2:10-5:10
