Repetitive Dive Timetable,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Z,Y,X,W,V,U,T,S,R,Q,P,O,N,M,L,K,J,I,H,G,F,E,D,C,B,A
35,205,118,168,152,139,127,117,108,100,92,85,79,73,67,62,57,52,48,44,40,36,32,29,25,19,10
,,17,37,53,66,78,88,97,105,113,120,126,132,138,143,148,153,157,161,165,169,173,176,180,186,195
40,140,129,120,111,104,97,91,85,79,74,69,64,60,55,51,48,44,40,37,34,31,27,25,22,16,9
,,11,20,29,36,43,49,55,61,66,71,76,80,85,89,92,96,100,103,106,109,113,115,118,124,131
50,,,80,75,71,67,63,60,57,53,50,47,44,41,38,36,33,31,28,26,24,21,19,17,13,7
,,,,5,9,13,17,20,23,27,30,33,36,39,42,44,47,49,52,54,56,59,61,63,67,73
60,,,,55,54,52,49,47,44,42,39,37,35,33,31,29,27,25,23,21,19,17,16,14,11,6
,,,,,1,3,6,8,11,13,16,18,20,22,24,26,28,30,32,34,36,38,39,41,44,49
70,,,,,,,40,38,36,34,33,31,29,27,26,24,22,21,19,18,16,15,13,12,9,5
,,,,,,,,2,4,6,7,9,11,13,14,16,18,19,21,22,24,25,27,28,31,35
80,,,,,,,,,30,29,28,26,25,23,22,21,19,18,17,15,14,13,11,10,8,4
,,,,,,,,,,,2,4,5,7,8,9,11,12,13,15,16,17,19,20,22,26
90,,,,,,,,,,25,24,23,22,21,19,18,17,16,15,13,12,11,10,9,7,4
,,,,,,,,,,,,2,3,4,6,7,8,9,10,12,13,14,15,16,18,21
100,,,,,,,,,,,,20,19,18,17,16,15,14,13,12,11,10,9,8,6,3
,,,,,,,,,,,,,,2,3,4,5,6,7,8,9,10,11,12,14,17
110,,,,,,,,,,,,,,16,15,14,14,13,12,11,10,9,8,7,6,3
,,,,,,,,,,,,,,,,2,2,3,4,5,6,7,8,9,10,13
120,,,,,,,,,,,,,,,,13,12,12,11,10,9,8,7,60,5,3
,,,,,,,,,,,,,,,,,,,2,3,4,5,6,7,8,10
130,,,,,,,,,,,,,,,,,,,10,9,8,8,7,6,5,3
,,,,,,,,,,,,,,,,,,,,,,,3,4,5,7
